Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
1.61	1	0	2	-117.181
1.61	3	0	3	-75.406
1.615	1	0	2	-117.181
1.615	3	0	3	-75.406
1.62	1	0	2	-117.181
1.62	3	0	3	-75.406
1.625	1	0	2	-117.181
1.625	3	0	3	-75.406
1.63	1	0	2	-117.181
1.63	3	0	3	-75.406
1.635	1	0	2	-117.181
1.635	3	0	3	-75.406
1.64	1	0	2	-117.181
1.64	3	0	3	-75.406
1.645	1	0	2	-117.181
1.645	3	0	3	-75.406
1.65	1	0	2	-117.181
1.65	3	0	3	-75.406
1.655	1	0	2	-117.181
1.655	3	0	3	-75.406
1.656	1	0	2	-117.181
1.66	1	0	2	-117.181
1.66	3	0	3	-75.406
1.665	1	0	2	-117.181
1.665	3	0	3	-75.406
1.67	1	0	2	-117.181
1.67	3	0	3	-75.406
1.675	1	0	2	-117.181
1.675	3	0	3	-75.406
1.679	3	0	3	-75.406
1.68	1	0	2	-117.181
1.68	3	0	3	-75.406
1.685	1	0	2	-117.181
1.685	3	0	3	-75.406
1.69	1	0	2	-117.181
1.69	3	0	3	-75.406
1.695	1	0	2	-117.181
1.695	3	0	3	-75.406
1.7	1	0	2	-117.181
1.7	3	0	3	-75.406
1.705	1	0	2	-117.181
1.705	3	0	3	-75.406
1.71	1	0	2	-117.181
1.71	3	0	3	-75.406
1.715	1	0	2	-117.181
1.715	3	0	3	-75.406
1.72	1	0	2	-117.181
1.72	3	0	3	-75.406
1.725	1	0	2	-117.181
1.725	3	0	3	-75.406
1.73	1	0	2	-117.181
1.73	3	0	3	-75.406
1.735	1	0	2	-117.181
1.735	3	0	3	-75.406
1.736	1	0	2	-117.181
1.74	1	0	2	-117.181
1.74	3	0	3	-75.406
1.745	1	0	2	-117.181
1.745	3	0	3	-75.406
1.75	1	0	2	-117.181
1.75	3	0	3	-75.406
1.755	1	0	2	-117.181
1.755	3	0	3	-75.406
1.759	3	0	3	-75.406
1.76	1	0	2	-117.181
1.76	3	0	3	-75.406
1.765	1	0	2	-117.181
1.765	3	0	3	-75.406
1.77	1	0	2	-117.181
1.77	3	0	3	-75.406
1.775	1	0	2	-117.181
1.775	3	0	3	-75.406
1.78	1	0	2	-117.181
1.78	3	0	3	-75.406
1.785	1	0	2	-117.181
1.785	3	0	3	-75.406
1.79	1	0	2	-117.181
1.79	3	0	3	-75.406
1.795	1	0	2	-117.181
1.795	3	0	3	-75.406
1.8	1	0	2	-117.181
1.8	3	0	3	-75.406
1.805	1	0	2	-117.181
1.805	3	0	3	-75.406
1.81	1	0	2	-117.181
1.81	3	0	3	-75.406
1.815	1	0	2	-117.181
1.815	3	0	3	-75.406
1.816	1	0	2	-117.181
1.82	1	0	2	-117.181
1.82	3	0	3	-75.406
1.825	1	0	2	-117.181
1.825	3	0	3	-75.406
