Time	CellId	RNTI	BWPId	SINR(dB)
43.5191	3	1	0	61.6913
43.5201	1	1	0	-18.1901
43.5201	3	1	0	24.0017
43.5251	1	1	0	-18.1901
43.5251	3	1	0	24.0017
43.5301	1	1	0	-18.1901
43.5301	3	1	0	24.0017
43.5351	1	1	0	-18.1901
43.5351	3	1	0	24.0017
43.5401	1	1	0	-18.1901
43.5401	3	1	0	24.0017
43.5451	1	1	0	-18.1901
43.5451	3	1	0	24.0017
43.5501	1	1	0	-18.1901
43.5501	3	1	0	24.0017
43.5551	1	1	0	-18.1901
43.5551	3	1	0	24.0017
43.5601	1	1	0	-18.1901
43.5601	3	1	0	24.0017
43.5651	1	1	0	-18.1901
43.5651	3	1	0	24.0017
43.5701	1	1	0	-18.1901
43.5701	3	1	0	24.0017
43.5751	1	1	0	-18.1901
43.5751	3	1	0	24.0017
43.5761	1	1	0	8.91451
43.5801	1	1	0	-18.1901
43.5801	3	1	0	24.0017
43.5851	1	1	0	-18.1901
43.5851	3	1	0	24.0017
43.5901	1	1	0	-18.1901
43.5901	3	1	0	24.0017
43.5951	1	1	0	-18.1901
43.5951	3	1	0	24.0017
43.5991	3	1	0	61.6913
43.6001	1	1	0	-18.1901
43.6001	3	1	0	24.0017
43.6051	1	1	0	-18.1901
43.6051	3	1	0	24.0017
43.6101	1	1	0	-18.1901
43.6101	3	1	0	24.0017
43.6151	1	1	0	-18.1901
43.6151	3	1	0	24.0017
43.6201	1	1	0	-18.1901
43.6201	3	1	0	24.0017
43.6251	1	1	0	-18.1901
43.6251	3	1	0	24.0017
43.6301	1	1	0	-18.1901
43.6301	3	1	0	24.0017
43.6351	1	1	0	-18.1901
43.6351	3	1	0	24.0017
43.6401	1	1	0	-18.1901
43.6401	3	1	0	24.0017
43.6451	1	1	0	-18.1901
43.6451	3	1	0	24.0017
43.6501	1	1	0	-18.1901
43.6501	3	1	0	24.0017
43.6551	1	1	0	-18.1901
43.6551	3	1	0	24.0017
43.6561	1	1	0	8.91451
43.6601	1	1	0	-18.1901
43.6601	3	1	0	24.0017
43.6651	1	1	0	-18.1901
43.6651	3	1	0	24.0017
43.6701	1	1	0	-18.1901
43.6701	3	1	0	24.0017
43.6751	1	1	0	-18.1901
43.6751	3	1	0	24.0017
43.6791	3	1	0	61.6913
43.6801	1	1	0	-18.1901
43.6801	3	1	0	24.0017
